役職名,陣営,能力,勝利条件,制作者
"ナッポー","村人陣営","人狼だが、ナッポーを所持していなければ人を殺すことはできない。
能力:一夜越す(初めの一夜も含む)ごとにナッポーが一つストックされる。
ナッポーが三つ溜まってから初めて、人を殺す事ができる。
ナッポーが三つ以上溜まっている場合(ナッポーバースト):夜に、ストックのナッポーを一つ消費する毎に、人を一人殺す事が可能(複数人殺害も可)。ナッポーをいくつ消費するかは自分で決める事ができる。
もう一度言うが、ナッポーを3つ所持していなければ、ナッポーバーストを使用することはできない。","人狼陣営を殺害すること。","金世潤"
"オカチャハーン三世","村人陣営","初めの夜、一人を選択し、その人を職業「オカチャハーンの下僕」にする事が可能(元の職業と共存する事ができる)。
いつでも下僕に「ﾀﾋね」と命令することで、下僕を処す事ができる。
「オカチャハーンの下僕」について:
もし選ばれた人が人狼ならば、その人は主人であるオカチャハーンを殺すことはできない。
下僕となった者は、その主人に対して必ず尊敬語で話さなければならない。","人狼陣営を殺害すること。","金世潤"
"寡黙な人狼","人狼陣営","言葉を話すことができない
ビデオをつけて身振り手振りでコミュニケーションを取る。","人狼陣営以外を全員殺害すること。","しゅーや"
"混乱の人狼","人狼陣営","このゲーム中すべてのプレイヤーの効果が発動するかが二分の一になる、すしてすべてのプレイヤーの人を指定して発動する系の能力は指定対象がランダムになる、(他のプレイヤーはこのことを知らない)。ランダムの方法はゲームマスターがルーレットでも回してくれby作者。","人狼陣営以外を全員殺害すること。","しゅーや"
"サンデー","村人陣営","毎晩プレイヤーのうち一人を選び、次の効果を付与する。そのプレイヤーが夜に任意で発動する能力を持っているなら2回行動できるようにする。","人狼陣営を殺害すること。","しゅーや"
"救世主","村人陣営","プレイヤーの数が残り二人になった時自分が生き残っているなら無条件で村人陣営が勝利する。","人狼陣営を殺害すること。","しゅーや"
"ラッキーピエロ","第三陣営","会議中に「ラッキールーレット」ということで会議を一時的に止めプレイヤーの一人(自身も含む)を殺害する。このときに殺害したのが人狼陣営または第3陣営ならば即座に勝利する。","能力「ラッキールーレット」を使い人狼を殺す","しゅーや"
"大喰い狼","人狼陣営","常に腹が減ってる。
腹が減ってるので、最大2人まで殺すことが出来る。

『2人食べた時』
お腹いっぱいになるため、会議中は発言不可。唸るのはセーフ。

『1人食べた時』
「もっと(人間)喰いたい」「お前食ってやろうか？」など、匂わせ発言をしないといけない。","人狼陣営以外を全員殺害すること。","shu55"
"気まずいの嫌だよね","人狼陣営","処刑された時確率で生き残る。
ただし処刑で生き残った時、気まずいので次1日は人を殺せない。

蘇生確率
1回目 確実に生き残る
2回目以降 二分の一で生き返る

気まずいのであれば自害する事も可能。(話し合い中は不可)
自害する時、誰か1人選んで50%の確率で道連れにできる。","人狼陣営以外を全員殺害すること。","shu55"
"天邪鬼","村人陣営","全てを否定する。
また、自分の発言は全て反対の意味で話さなければならない。

捻くれているので投票権は2票持っている。","人狼陣営を殺害すること。","shu55"
"Grasser🌱","村人陣営","常に笑ってろwww
君の笑いは世界を平和に導くwww

もし村人陣営の生存者が自分だけならば、このゲームに勝つ。","人狼陣営を殺害すること。","shu55"
"マネキン","第三陣営","ランダムに選んだ人の真似をする。
人は毎ターン抽選する。","真似していた人が処刑された時。","shu55"
"死神","人狼陣営","投票で吊られても死亡しない。
ただし、占い師に占われる、夜噛む際に騎士で防がれる、その他市民、第三陣営の能力等によって殺害された際、死亡する。
ゲーム開始時から生存者としてカウントされない
(つまり、他の人狼陣営が全て死ぬと自分の生存に関わらず敗北する)。","人狼陣営以外を全員殺害すること。","ゆじ"
"イビルエージェント","人狼陣営","夜に噛んだ対象の役職がわかる。(常時)
自分が釣られる際、代わりに1人を生け贄にする。","人狼陣営以外を全員殺害すること。","ゆじ"
"スター","村人陣営","全員の視点からスターの存在を知ることができる
(=確白)","人狼陣営を殺害すること。","ゆじ"
"シェリフ","村人陣営","夜の間、任意で対象を1人選ぶことができる。
対象が人狼or第三陣営の場合→対象を殺害する。
対象が市民陣営の場合→自殺する。","人狼陣営を殺害すること。","ゆじ"
"教祖","第三陣営","""布教""

初日の昼、対象1人を｢教徒｣にする。
以降、夜が来る度に、対象1人を｢教徒｣にする。
教祖が死亡すると、教徒も全員自害する。



｢教徒｣

役職とは別のステータスとして扱われる。
教祖に投票した場合、死亡する。
教祖及び他の教徒の存在がわかる。","生存者が｢教祖｣、｢教徒｣のみになった場合、生存者のみ勝利","ゆじ"
